artist,last_chart_year,l1,l2,l3
Sean Paul Featuring Sasha,2004,sean paul,sean paul,sean paul
Seatrain,1971,seatrain,seatrain,seatrain
Sebastian Yatra,2022,sebastian yatra,sebastian yatra,sebastian yatra
"Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko",2020,"sech, daddy yankee & j balvin",sech,sech
"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",2019,"sech, darell, nicky jam, ozuna & anuel aa",sech,sech
Secondhand Serenade,2009,secondhand serenade,secondhand serenade,secondhand serenade
Secret Ties,1987,secret ties,secret ties,secret ties
Seduction,1990,seduction,seduction,seduction
Seether,2011,seether,seether,seether
Seether Featuring Amy Lee,2005,seether,seether,seether
Seiko & Donnie Wahlberg,1990,seiko & donnie wahlberg,seiko,seiko
Selena,1996,selena,selena,selena
Selena Gomez,2024,selena gomez,selena gomez,selena gomez
Selena Gomez & Benny Blanco,2025,selena gomez & benny blanco,selena gomez,selena gomez
Selena Gomez & Demi Lovato,2009,selena gomez & demi lovato,selena gomez,selena gomez
Selena Gomez & The Scene,2012,selena gomez & the scene,selena gomez,selena gomez
Selena Gomez Featuring A$AP Rocky,2016,selena gomez,selena gomez,selena gomez
Selena Gomez Featuring Gucci Mane,2017,selena gomez,selena gomez,selena gomez
Selena Gomez With Rauw Alejandro,2021,selena gomez with rauw alejandro,selena gomez,selena gomez
Selena Gomez X Marshmello,2018,selena gomez x marshmello,selena gomez,selena gomez
"Selena Gomez, Benny Blanco & Gracie Abrams",2025,"selena gomez, benny blanco & gracie abrams",selena gomez,selena gomez
"Selena Gomez, Benny Blanco & The Marias",2025,"selena gomez, benny blanco & the marias",selena gomez,selena gomez
Senator Bobby & Senator McKinley,1967,senator bobby & senator mckinley,senator bobby,senator bobby
Senator Bobby Featuring Bill Minkin,1967,senator bobby,senator bobby,senator bobby
Senator Everett McKinley Dirksen,1967,senator everett mckinley dirksen,senator everett mckinley dirksen,senator everett mckinley dirksen
September,2008,september,september,september
Sergio Mendes,1984,sergio mendes,sergio mendes,sergio mendes
Sergio Mendes & Brasil '66,1969,sergio mendes & brasil '66,sergio mendes,sergio mendes
Serj Tankian,2007,serj tankian,serj tankian,serj tankian
"Sevdaliza, Pabllo Vittar & Yseult",2024,"sevdaliza, pabllo vittar & yseult",sevdaliza,sevdaliza
Seven Mary Three,1996,seven mary three,seven mary three,seven mary three
Sevyn Streeter Featuring Chris Brown,2014,sevyn streeter,sevyn streeter,sevyn streeter
Sexyy Red,2024,sexyy red,sexyy red,sexyy red
Sexyy Red & Bruno Mars,2025,sexyy red & bruno mars,sexyy red,sexyy red
Sexyy Red & Drake,2024,sexyy red & drake,sexyy red,sexyy red
Sexyy Red & Tay Keith & Nicki Minaj,2023,sexyy red & tay keith & nicki minaj,sexyy red,sexyy red
Sha Na Na,1975,sha na na,sha na na,sha na na
Shabba Ranks,1995,shabba ranks,shabba ranks,shabba ranks
Shabba Ranks (Featuring Johnny Gill),1993,shabba ranks,shabba ranks,shabba ranks
Shabba Ranks (Featuring Maxi Priest),1992,shabba ranks,shabba ranks,shabba ranks
Shabba Ranks Featuring Patra And Terri & Monica,1994,shabba ranks,shabba ranks,shabba ranks
Shaboozey,2025,shaboozey,shaboozey,shaboozey
Shaboozey & Jelly Roll,2025,shaboozey & jelly roll,shaboozey,shaboozey
Shades,1997,shades,shades,shades
Shades Of Blue,1966,shades of blue,shades of blue,shades of blue
Shadows Of Knight,1968,shadows of knight,shadows of knight,shadows of knight
Shae Jones,1999,shae jones,shae jones,shae jones
Shaggy,1995,shaggy,shaggy,shaggy
Shaggy (Featuring Marsha),1997,shaggy,shaggy,shaggy
"Shaggy Feat. Ricardo ""RikRok"" Ducent",2001,shaggy,shaggy,shaggy
Shaggy Featuring Janet,1999,shaggy,shaggy,shaggy
"Shaggy Featuring Mohombi, Faydee, Costi",2015,shaggy,shaggy,shaggy
Shaggy Featuring Rayvon,2001,shaggy,shaggy,shaggy
Shai,1996,shai,shai,shai
Shakespear's Sister,1993,shakespear's sister,shakespear's sister,shakespears sister
Shakin' Stevens,1984,shakin' stevens,shakin' stevens,shakin stevens
Shakira,2023,shakira,shakira,shakira
Shakira & Cardi B,2024,shakira & cardi b,shakira,shakira
Shakira & Rauw Alejandro,2022,shakira & rauw alejandro,shakira,shakira
Shakira + Ozuna,2023,shakira + ozuna,shakira,shakira
Shakira Feat. Alejandro Sanz,2005,shakira,shakira,shakira
Shakira Featuring El Cata or Dizzee Rascal,2011,shakira,shakira,shakira
Shakira Featuring Freshlyground,2010,shakira,shakira,shakira
Shakira Featuring Lil Wayne,2010,shakira,shakira,shakira
Shakira Featuring Maluma,2017,shakira,shakira,shakira
Shakira Featuring Nicky Jam,2017,shakira,shakira,shakira
Shakira Featuring Rihanna,2014,shakira,shakira,shakira
Shakira Featuring Wyclef Jean,2006,shakira,shakira,shakira
Shakira X Fuerza Regida,2023,shakira x fuerza regida,shakira,shakira
Shalamar,1985,shalamar,shalamar,shalamar
Shamus M'Cool,1981,shamus m'cool,shamus m'cool,shamus mcool
Shana,1990,shana,shana,shana
Shane Minor,1999,shane minor,shane minor,shane minor
Shango,1969,shango,shango,shango
Shania Twain,2011,shania twain,shania twain,shania twain
Shania Twain With Billy Currington Or Mark McGrath,2005,shania twain with billy currington or mark mcgrath,shania twain,shania twain
Shanice,1999,shanice,shanice,shanice
Shanice Wilson,1988,shanice wilson,shanice wilson,shanice wilson
Shannon,1985,shannon,shannon,shannon
Shaquille O'Neal,1995,shaquille o'neal,shaquille o'neal,shaquille oneal
"Shaquille O'Neal, Ice Cube, B Real, Peter Gunz & KRS-One",1997,"shaquille o'neal, ice cube, b real, peter gunz & krs-one",shaquille o'neal,shaquille oneal
Shareefa Featuring Ludacris,2006,shareefa,shareefa,shareefa
Sharissa,2002,sharissa,sharissa,sharissa
Sharon Bryant,1990,sharon bryant,sharon bryant,sharon bryant
Sharon Paige and Harold Melvin And The Blue Notes,1975,sharon paige and harold melvin and the blue notes,sharon paige,sharon paige
Sharpees,1966,sharpees,sharpees,sharpees
Shaun Cassidy,1978,shaun cassidy,shaun cassidy,shaun cassidy
Shawn Christopher,1992,shawn christopher,shawn christopher,shawn christopher
Shawn Colvin,1998,shawn colvin,shawn colvin,shawn colvin
Shawn Mendes,2024,shawn mendes,shawn mendes,shawn mendes
Shawn Mendes & Camila Cabello,2020,shawn mendes & camila cabello,shawn mendes,shawn mendes
Shawn Mendes & Justin Bieber,2021,shawn mendes & justin bieber,shawn mendes,shawn mendes
Shawn Mendes & Tainy,2021,shawn mendes & tainy,shawn mendes,shawn mendes
Shawn Mendes Featuring Khalid,2018,shawn mendes,shawn mendes,shawn mendes
Shawn Mendes X Zedd,2019,shawn mendes x zedd,shawn mendes,shawn mendes
Shawn Mullins,1999,shawn mullins,shawn mullins,shawn mullins
Shawn Phillips,1973,shawn phillips,shawn phillips,shawn phillips
Shawn Stockman,1996,shawn stockman,shawn stockman,shawn stockman
Shawnna,2006,shawnna,shawnna,shawnna
Shawnna Featuring Ludacris,2004,shawnna,shawnna,shawnna
Shawty Lo,2008,shawty lo,shawty lo,shawty lo
She Moves,1998,she moves,she moves,she moves
Sheb Wooley,1962,sheb wooley,sheb wooley,sheb wooley
Sheck Wes,2019,sheck wes,sheck wes,sheck wes
Sheena Easton,1991,sheena easton,sheena easton,sheena easton
Sheila,1982,sheila,sheila,sheila
Sheila E.,1987,sheila e.,sheila e.,sheila e
Shelby Flint,1966,shelby flint,shelby flint,shelby flint
Shelley Fabares,1963,shelley fabares,shelley fabares,shelley fabares
Shep And The Limelites,1963,shep and the limelites,shep,shep
Sheppard,2015,sheppard,sheppard,sheppard
Sherbet,1976,sherbet,sherbet,sherbet
Sherbs,1981,sherbs,sherbs,sherbs
Sheriff,1989,sheriff,sheriff,sheriff
Sherrie Austin,1999,sherrie austin,sherrie austin,sherrie austin
Sheryl Crow,2013,sheryl crow,sheryl crow,sheryl crow
Sheryl Crow & Sting,2006,sheryl crow & sting,sheryl crow,sheryl crow
"Sheryl Crow, Kid Rock & Keith Urban",2010,"sheryl crow, kid rock & keith urban",sheryl crow,sheryl crow
Shinedown,2012,shinedown,shinedown,shinedown
Shiny Toy Guns,2010,shiny toy guns,shiny toy guns,shiny toy guns
Shirley & Lee,1961,shirley & lee,shirley,shirley
Shirley & Squirrely,1976,shirley & squirrely,shirley,shirley
Shirley And Company,1975,shirley and company,shirley,shirley
Shirley Bassey,1973,shirley bassey,shirley bassey,shirley bassey
Shirley Brown,1975,shirley brown,shirley brown,shirley brown
Shirley Caesar,1975,shirley caesar,shirley caesar,shirley caesar
Shirley Ellis,1967,shirley ellis,shirley ellis,shirley ellis
Shirley Lewis,1989,shirley lewis,shirley lewis,shirley lewis
Shirley Murdock,1987,shirley murdock,shirley murdock,shirley murdock
Shirley and Lee,1960,shirley and lee,shirley,shirley
Shoes,1979,shoes,shoes,shoes
Shontelle,2010,shontelle,shontelle,shontelle
Shooting Star,1989,shooting star,shooting star,shooting star
Shop Boyz,2007,shop boyz,shop boyz,shop boyz
Shoreline Mafia Presents OhGeesy & Fenix Flexin,2024,shoreline mafia presents ohgeesy & fenix flexin,shoreline mafia presents ohgeesy,shoreline mafia presents ohgeesy
Shorty Long,1968,shorty long,shorty long,shorty long
Shot In The Dark,1981,shot in the dark,shot in the dark,shot in the dark
Shwayze,2008,shwayze,shwayze,shwayze
Shwayze Featuring Cisco Adler,2008,shwayze,shwayze,shwayze
Shyheim,1994,shyheim,shyheim,shyheim
Shyne Featuring Barrington Levy,2000,shyne,shyne,shyne
Si Zentner And His Orchestra,1962,si zentner and his orchestra,si zentner,si zentner
Sia,2025,sia,sia,sia
Sia Featuring Kendrick Lamar,2017,sia,sia,sia
Sia Featuring Sean Paul,2017,sia,sia,sia
Sick Puppies,2011,sick puppies,sick puppies,sick puppies
Siedah Garrett,1988,siedah garrett,siedah garrett,siedah garrett
Sil Austin,1959,sil austin,sil austin,sil austin
Silento,2016,silento,silento,silento
Silk,1999,silk,silk,silk
Silk City x Dua Lipa,2019,silk city x dua lipa,silk city,silk city
Silk Sonic (Bruno Mars & Anderson .Paak),2022,silk sonic,silk sonic,silk sonic
Silk Sonic (Bruno Mars & Anderson .Paak) With Thundercat & Bootsy Collins,2021,silk sonic,silk sonic,silk sonic
"Silkk the Shocker Featuring Master P, Destiny's Child, O'Dell, Mo",1998,silkk the shocker,silkk the shocker,silkk the shocker
Silkk the Shocker Featuring Mystikal,1999,silkk the shocker,silkk the shocker,silkk the shocker
Silver,1976,silver,silver,silver
Silver Condor,1981,silver condor,silver condor,silver condor
Silver Convention,1976,silver convention,silver convention,silver convention
Silverado,1981,silverado,silverado,silverado
Silversun Pickups,2009,silversun pickups,silversun pickups,silversun pickups
Silvetti,1977,silvetti,silvetti,silvetti
