"artist","l1","l2","l3"
$not,$not,$not,not
$uicideboy$,$uicideboy$,$uicideboy$,uicideboy
'til tuesday,'til tuesday,til tuesday,til tuesday
(+44),"","",""
(the preacher) bobby womack,bobby womack,bobby womack,bobby womack
*nsync,*nsync,*nsync,nsync
"1 of the girls","1 of the girls","1 of the girls","1 of the girls"
"10","10","10","10"
"10 years","10 years","10 years","10 years"
"100 proof aged in soul","100 proof aged in soul","100 proof aged in soul","100 proof aged in soul"
"100 strings","100 strings","100 strings","100 strings"
"10cc","10cc","10cc","10cc"
"112","112","112","112"
"12 gauge","12 gauge","12 gauge","12 gauge"
"1910 fruitgum co.","1910 fruitgum co.","1910 fruitgum co.","1910 fruitgum co"
"1927","1927","1927","1927"
"2 chainz","2 chainz","2 chainz","2 chainz"
"2 hyped brothers","2 hyped brothers","2 hyped brothers","2 hyped brothers"
"2 in a room","2 in a room","2 in a room","2 in a room"
"2 of clubs","2 of clubs","2 of clubs","2 of clubs"
"2 pistols","2 pistols","2 pistols","2 pistols"
"2 unlimited","2 unlimited","2 unlimited","2 unlimited"
"20 fingers","20 fingers","20 fingers","20 fingers"
"21 savage","21 savage","21 savage","21 savage"
"24kgoldn","24kgoldn","24kgoldn","24kgoldn"
"2gether","2gether","2gether","2gether"
"2nd ii none","2nd ii none","2nd ii none","2nd ii none"
"2nu","2nu","2nu","2nu"
"2pac","2pac","2pac","2pac"
"2pac + outlawz","2pac + outlawz","2pac + outlawz","2pac outlawz"
"2pac duet","2pac duet","2pac duet","2pac duet"
"3 doors down","3 doors down","3 doors down","3 doors down"
"3 man isl","3 man isl","3 man isl","3 man isl"
"30 seconds to mars","30 seconds to mars","30 seconds to mars","30 seconds to mars"
"310babii","310babii","310babii","310babii"
"311","311","311","311"
"38 special","38 special","38 special","38 special"
"3lw","3lw","3lw","3lw"
"3oh!3","3oh!3","3oh!3","3oh 3"
"3rd bass","3rd bass","3rd bass","3rd bass"
"3rd party","3rd party","3rd party","3rd party"
"3t","3t","3t","3t"
"4 by four","4 by four","4 by four","4 by four"
"4 non blondes","4 non blondes","4 non blondes","4 non blondes"
"4 the cause","4 the cause","4 the cause","4 the cause"
"4*town (from disney","4*town (from disney","4*town (from disney","4 town from disney"
"4.0","4.0","4.0","4 0"
"42 dugg","42 dugg","42 dugg","42 dugg"
"49-ers","49-ers","49-ers","49 ers"
"4batz","4batz","4batz","4batz"
"4pm","4pm","4pm","4pm"
"5 satins","5 satins","5 satins","5 satins"
"5 seconds of summer","5 seconds of summer","5 seconds of summer","5 seconds of summer"
"5 stairsteps","5 stairsteps","5 stairsteps","5 stairsteps"
"50 cent","50 cent","50 cent","50 cent"
"5000 volts","5000 volts","5000 volts","5000 volts"
"504 boyz","504 boyz","504 boyz","504 boyz"
"69 boyz","69 boyz","69 boyz","69 boyz"
"6i","6i","6i","6i"
"6lack","6lack","6lack","6lack"
"7 mile","7 mile","7 mile","7 mile"
"702","702","702","702"
"707","707","707","707"
"9.9","9.9","9.9","9 9"
"95 south","95 south","95 south","95 south"
"98 degrees","98 degrees","98 degrees","98 degrees"
<a href=https://www.billboard.com/artist/lil-nas-,<a href=https://www.billboard.com/artist/lil-nas-,<a href=https://www.billboard.com/artist/lil-nas-,a href https www billboard com artist lil nas
? (question mark),?,?,""
a,a,a,a
a boogie wit da hoodie,a boogie wit da hoodie,a boogie wit da hoodie,a boogie wit da hoodie
a few good men,a few good men,a few good men,a few good men
a flock of seagulls,a flock of seagulls,a flock of seagulls,a flock of seagulls
a great big world,a great big world,a great big world,a great big world
a perfect circle,a perfect circle,a perfect circle,a perfect circle
a r rahman,a r rahman,a r rahman,a r rahman
a rocket to the moon,a rocket to the moon,a rocket to the moon,a rocket to the moon
a taste of honey,a taste of honey,a taste of honey,a taste of honey
a thous,a thous,a thous,a thous
a tribe called quest,a tribe called quest,a tribe called quest,a tribe called quest
a$ap ferg,a$ap ferg,a$ap ferg,a ap ferg
a$ap rocky,a$ap rocky,a$ap rocky,a ap rocky
a'me lorain,a'me lorain,ame lorain,ame lorain
a*teens,a*teens,a*teens,a teens
a+,a+,a+,a
a-ha,a-ha,a-ha,a ha
a-trak + milo,a-trak + milo,a-trak + milo,a trak milo
