artist,l1,l2,l3,matched_name,spotify_artist_id,genres_raw,genre_main,inferred_from,confidence
$not,$not,$not,not,RAC,4AGwPDdh1y8hochNzHy5HC,,,none,0.0
$uicideboy$,$uicideboy$,$uicideboy$,uicideboy,$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,cloud rap;emo rap;horrorcore;trap metal;underground hip hop,HipHop,direct,1.0
'til tuesday,'til tuesday,til tuesday,til tuesday,'Til Tuesday,1L0y9srZMyh9XUnYGv37IP,new wave,Other,direct,1.0
(+44),,,,RAC,4AGwPDdh1y8hochNzHy5HC,,,none,0.0
(the preacher) bobby womack,bobby womack,bobby womack,bobby womack,Bobby Womack,0vqkz1b2qBkoYrGMj2CUWq,classic soul;soul,RnB,direct,1.0
*nsync,*nsync,*nsync,nsync,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,,,none,0.0
1 of the girls,1 of the girls,1 of the girls,1 of the girls,"4 Married Girls, 1 Unmarried & Men of The Queen Mother's Village",0tP1Xt8AgsyyGbfQwBRFHD,,,none,0.0
10,10,10,10,RAC,4AGwPDdh1y8hochNzHy5HC,,,none,0.0
10 years,10 years,10 years,10 years,10 Years,0REMf7H0VP6DwfZ9MbuWph,alternative metal;post-grunge,Rock,direct,1.0
100 proof aged in soul,100 proof aged in soul,100 proof aged in soul,100 proof aged in soul,100 Proof Aged In Soul,10i8e4CH1K0Nf4XECvAcTd,northern soul,RnB,direct,1.0
100 strings,100 strings,100 strings,100 strings,Sounds of a 1000 Strings,67wAUx5HHH9VVII5QMRSSJ,,,none,0.0
10cc,10cc,10cc,10cc,10cc,6i6WlGzQtXtz7GcC5H5st5,art rock;glam rock;yacht rock,Rock,direct,1.0
112,112,112,112,Voskresenie,2Sf2VjK8vpOU9i9VfshmO7,,,none,0.0
12 gauge,12 gauge,12 gauge,12 gauge,12 Gauge,19dL0fni8Il6amPuGzxkmn,miami bass,Other,direct,1.0
1910 fruitgum co.,1910 fruitgum co.,1910 fruitgum co.,1910 fruitgum co,1910 Fruitgum Company,17vIaBTHJOVxnU4v7t1DiY,bubblegum pop,Pop,direct,1.0
1927,1927,1927,1927,1927,7uZbOLlVQNbLVvKdGRk4VZ,,,none,0.0
2 chainz,2 chainz,2 chainz,2 chainz,2 Chainz,17lzZA2AlOHwCwFALHttmp,rap;southern hip hop,HipHop,direct,1.0
2 hyped brothers,2 hyped brothers,2 hyped brothers,2 hyped brothers,2 Hyped Brothers & A Dog,4uuHzqQ4a2GT3jFsAlZSip,baltimore club;chicago house;hip house;miami bass;philly club,Electronic,direct,1.0
2 in a room,2 in a room,2 in a room,2 in a room,2 In A Room,2029eJThczywCgnjE33s33,ballroom vogue;chicago house;hip house;latin house,Electronic,direct,1.0
2 of clubs,2 of clubs,2 of clubs,2 of clubs,2 of Clubs,4Qtg3TYpqjQrvWDjB0KYpa,,,none,0.0
2 pistols,2 pistols,2 pistols,2 pistols,2 Pistols,7JBMlJmJpOk87BZTdbYSHD,,,none,0.0
2 unlimited,2 unlimited,2 unlimited,2 unlimited,2 Unlimited,18JD8DVlD1fakDAw7E9LFC,eurodance;hip house,Electronic,direct,1.0
20 fingers,20 fingers,20 fingers,20 fingers,20 Fingers,0OarfYzJPCi3lAVZ4nhTTd,eurodance,Other,direct,1.0
21 savage,21 savage,21 savage,21 savage,21 Savage,1URnnhqYAYcrqrcwql10ft,,,none,0.0
24kgoldn,24kgoldn,24kgoldn,24kgoldn,24kGoldn,6fWVd57NKTalqvmjRd2t8Z,,,none,0.0
2gether,2gether,2gether,2gether,Rich2Gether,7JEKwHEyxkl7GMIZmTVllb,,,none,0.0
2nd ii none,2nd ii none,2nd ii none,2nd ii none,2nd II None,1rlHVdoyfG6pQkzcMWI4dr,g-funk;gangster rap;old school hip hop;west coast hip hop,HipHop,direct,1.0
2nu,2nu,2nu,2nu,Voskresenie,2Sf2VjK8vpOU9i9VfshmO7,,,none,0.0
2pac,2pac,2pac,2pac,2Pac,1ZwdS5xdxEREPySFridCfh,g-funk;gangster rap;hip hop;old school hip hop;west coast hip hop,HipHop,direct,1.0
2pac + outlawz,2pac + outlawz,2pac + outlawz,2pac outlawz,2 Pac's Outlawz,3R0dLbQvI6x16t2bLaE9wE,,,none,0.0
2pac duet,2pac duet,2pac duet,2pac duet,,,,,none,0.0
3 doors down,3 doors down,3 doors down,3 doors down,3 Doors Down,2RTUTCvo6onsAnheUk3aL9,post-grunge,Rock,direct,1.0
3 man isl,3 man isl,3 man isl,3 man isl,,,,,none,0.0
30 seconds to mars,30 seconds to mars,30 seconds to mars,30 seconds to mars,,,,,none,0.0
310babii,310babii,310babii,310babii,310babii,4VCriUU9CsPnUvoAsxVk1p,,,none,0.0
311,311,311,311,Artist 12,69zCl5K7XeVrbgvwviLSzB,,,none,0.0
38 special,38 special,38 special,38 special,38 Special,3zXw2Eh96iTT51pytzHdZi,aor;classic rock;southern rock,Rock,direct,1.0
3lw,3lw,3lw,3lw,Dj Denilson,2WRYEbVVT8fmNn6n3GqotW,,,none,0.0
3oh!3,3oh!3,3oh!3,3oh 3,3OH!3,0FWzNDaEu9jdgcYTbcOa4F,,,none,0.0
3rd bass,3rd bass,3rd bass,3rd bass,3rd Bass,6EFL6smxzRtpwlQvZFldUc,east coast hip hop;old school hip hop,HipHop,direct,1.0
3rd party,3rd party,3rd party,3rd party,3rd Party,0vXXFoBFr2mOOGfLqeee2D,,,none,0.0
3t,3t,3t,3t,T3R Elemento,34nbQa7Hug9DYkRJpfKNFv,banda;corrido;corridos bélicos;corridos tumbados;música mexicana;norteño;sad sierreño;sierreño,Latin,direct,1.0
4 by four,4 by four,4 by four,4 by four,,,,,none,0.0
4 non blondes,4 non blondes,4 non blondes,4 non blondes,4 Non Blondes,0Je74SitssvJg1w4Ra2EK7,,,none,0.0
4 the cause,4 the cause,4 the cause,4 the cause,4 The Cause,40VJLVIiJmgGAPogrC9dQd,,,none,0.0
4*town (from disney,4*town (from disney,4*town (from disney,4 town from disney,4*TOWN (From Disney and Pixar’s Turning Red),7jLpPyJ5gQxCvwiBsUfFu6,,,none,0.0
4.0,4.0,4.0,4 0,S4nri0,0oV5Z0bl2CEOKxeN8FZHi7,brazilian phonk;phonk,Other,direct,1.0
42 dugg,42 dugg,42 dugg,42 dugg,42 Dugg,45gHcnDnMC15sgx3VL7ROG,,,none,0.0
49-ers,49-ers,49-ers,49 ers,The 49ers,1WWJxH3nMA5AoEnghYv1ij,jazz rap,HipHop,direct,1.0
4batz,4batz,4batz,4batz,4batz,5fi7lIgJGH3RgUpJYcffQ7,,,none,0.0
4pm,4pm,4pm,4pm,4 P.M.,5t5SLR66rZDxwuVHTSATOt,,,none,0.0
5 satins,5 satins,5 satins,5 satins,The 5 Satins founder and lead singer Fred Parris,2TXUdUAknn0ZPiWsvIWpFc,,,none,0.0
5 seconds of summer,5 seconds of summer,5 seconds of summer,5 seconds of summer,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,,,none,0.0
5 stairsteps,5 stairsteps,5 stairsteps,5 stairsteps,The 5 Stairsteps,1L5mHg10huszFz2rzmxU5Y,northern soul,RnB,direct,1.0
50 cent,50 cent,50 cent,50 cent,50 Cent,3q7HBObVc0L8jNeTe5Gofh,east coast hip hop;old school hip hop,HipHop,direct,1.0
5000 volts,5000 volts,5000 volts,5000 volts,5000 Volts,4U9FglMGShioV0yV8qcNFd,disco,Other,direct,1.0
504 boyz,504 boyz,504 boyz,504 boyz,504 Boyz,5ILgJERmX20rZuVVDQ7z5P,new orleans bounce;southern hip hop,HipHop,direct,1.0
69 boyz,69 boyz,69 boyz,69 boyz,69 Boyz,7qeBsFLeNEuzrDhDMbnDwF,miami bass,Other,direct,1.0
6i,6i,6i,6i,Artist Invisible,1pCnl9PbA9JaffWHMiSXuT,,,none,0.0
6lack,6lack,6lack,6lack,6LACK,4IVAbR2w4JJNJDDRFP3E83,,,none,0.0
7 mile,7 mile,7 mile,7 mile,7MILE WB,6VR2o974Y8H5dpHaFRb6Co,,,none,0.0
702,702,702,702,Voskresenie,2Sf2VjK8vpOU9i9VfshmO7,,,none,0.0
707,707,707,707,https://open.spotify.com/artist/0eq7vT4TD3rwEJpqzVzouk?si=ClextRf8Sve8hjs66yPS6w,3o1h7zcPeWXFGkGE4er5HD,,,none,0.0
9.9,9.9,9.9,9 9,Tech N9ne,6UBA15slIuadJ8h2lPRPos,horrorcore,Other,direct,1.0
95 south,95 south,95 south,95 south,95 South,3vjd6YHdWCqO3MWaYbxDf0,bass music;miami bass,Other,direct,1.0
98 degrees,98 degrees,98 degrees,98 degrees,Joe & 98 Degrees,7aEqjTBeH2YseqpfRUKeTZ,,,none,0.0
<a href=https://www.billboard.com/artist/lil-nas-,<a href=https://www.billboard.com/artist/lil-nas-,<a href=https://www.billboard.com/artist/lil-nas-,a href https www billboard com artist lil nas,,,,,none,0.0
? (question mark),?,?,,Question Mark,41REvYlvUU3FCP5f65Jllh,hard house,Electronic,direct,1.0
a,a,a,a,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,pop,Pop,direct,1.0
a boogie wit da hoodie,a boogie wit da hoodie,a boogie wit da hoodie,a boogie wit da hoodie,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,melodic rap,HipHop,direct,1.0
a few good men,a few good men,a few good men,a few good men,A Few Good Men Music Ministries,1rm6v5rwa5UbLc1owZaY0r,african gospel;christian country;gospel;southern gospel,Gospel,direct,1.0
a flock of seagulls,a flock of seagulls,a flock of seagulls,a flock of seagulls,A Flock Of Seagulls,0uAjBatvB4ubpd4kCfjmNt,new wave;synthpop,Pop,direct,1.0
a great big world,a great big world,a great big world,a great big world,A Great Big World,5xKp3UyavIBUsGy3DQdXeF,,,none,0.0
a perfect circle,a perfect circle,a perfect circle,a perfect circle,A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc,alternative metal,Metal,direct,1.0
a r rahman,a r rahman,a r rahman,a r rahman,A.R. Rahman,1mYsTxnqsietFxj1OgoGbG,bollywood;desi;hindi pop;kollywood;sufi;tamil pop,Pop,direct,1.0
a rocket to the moon,a rocket to the moon,a rocket to the moon,a rocket to the moon,A Rocket To The Moon,1NU9Em6e8dDo36Js6nEo3t,pop punk,Rock,direct,1.0
a taste of honey,a taste of honey,a taste of honey,a taste of honey,A Taste Of Honey,1ii6e2pv8VIRwnTER71rMl,boogie;disco,Other,direct,1.0
a thous,a thous,a thous,a thous,A Thousand Horses,55RI2GNCfyXr0f14uIdhwd,country;country rock;southern rock,Rock,direct,1.0
