artist,l1,l2,l3,matched_name,spotify_artist_id,genres
$not,$not,$not,not,RAC,4AGwPDdh1y8hochNzHy5HC,
$uicideboy$,$uicideboy$,$uicideboy$,uicideboy,$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,emo rap;horrorcore;cloud rap;trap metal;underground hip hop
'til tuesday,'til tuesday,til tuesday,til tuesday,'Til Tuesday,1L0y9srZMyh9XUnYGv37IP,new wave
(+44),,,,RAC,4AGwPDdh1y8hochNzHy5HC,
(the preacher) bobby womack,bobby womack,bobby womack,bobby womack,Bobby Womack,0vqkz1b2qBkoYrGMj2CUWq,soul;classic soul
*nsync,*nsync,*nsync,nsync,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,
1 of the girls,1 of the girls,1 of the girls,1 of the girls,"4 Married Girls, 1 Unmarried & Men of The Queen Mother's Village",0tP1Xt8AgsyyGbfQwBRFHD,
10,10,10,10,RAC,4AGwPDdh1y8hochNzHy5HC,
10 years,10 years,10 years,10 years,10 Years,0REMf7H0VP6DwfZ9MbuWph,post-grunge;alternative metal
100 proof aged in soul,100 proof aged in soul,100 proof aged in soul,100 proof aged in soul,100 Proof Aged In Soul,10i8e4CH1K0Nf4XECvAcTd,northern soul
100 strings,100 strings,100 strings,100 strings,Sounds of a 1000 Strings,67wAUx5HHH9VVII5QMRSSJ,
10cc,10cc,10cc,10cc,10cc,6i6WlGzQtXtz7GcC5H5st5,yacht rock;art rock;glam rock
112,112,112,112,Voskresenie,2Sf2VjK8vpOU9i9VfshmO7,
12 gauge,12 gauge,12 gauge,12 gauge,12 Gauge,19dL0fni8Il6amPuGzxkmn,miami bass
1910 fruitgum co.,1910 fruitgum co.,1910 fruitgum co.,1910 fruitgum co,1910 Fruitgum Company,17vIaBTHJOVxnU4v7t1DiY,bubblegum pop
1927,1927,1927,1927,1927,7uZbOLlVQNbLVvKdGRk4VZ,
2 chainz,2 chainz,2 chainz,2 chainz,2 Chainz,17lzZA2AlOHwCwFALHttmp,southern hip hop;rap
2 hyped brothers,2 hyped brothers,2 hyped brothers,2 hyped brothers,2 Hyped Brothers & A Dog,4uuHzqQ4a2GT3jFsAlZSip,baltimore club;miami bass;chicago house;hip house;philly club
2 in a room,2 in a room,2 in a room,2 in a room,2 In A Room,2029eJThczywCgnjE33s33,hip house;latin house;chicago house;ballroom vogue
2 of clubs,2 of clubs,2 of clubs,2 of clubs,2 of Clubs,4Qtg3TYpqjQrvWDjB0KYpa,
2 pistols,2 pistols,2 pistols,2 pistols,2 Pistols,7JBMlJmJpOk87BZTdbYSHD,
2 unlimited,2 unlimited,2 unlimited,2 unlimited,2 Unlimited,18JD8DVlD1fakDAw7E9LFC,eurodance;hip house
20 fingers,20 fingers,20 fingers,20 fingers,20 Fingers,0OarfYzJPCi3lAVZ4nhTTd,eurodance
21 savage,21 savage,21 savage,21 savage,21 Savage,1URnnhqYAYcrqrcwql10ft,
24kgoldn,24kgoldn,24kgoldn,24kgoldn,24kGoldn,6fWVd57NKTalqvmjRd2t8Z,
2gether,2gether,2gether,2gether,Rich2Gether,7JEKwHEyxkl7GMIZmTVllb,
2nd ii none,2nd ii none,2nd ii none,2nd ii none,2nd II None,1rlHVdoyfG6pQkzcMWI4dr,g-funk;west coast hip hop;old school hip hop;gangster rap
2nu,2nu,2nu,2nu,Voskresenie,2Sf2VjK8vpOU9i9VfshmO7,
