artist,l1,l2,l3,matched_name,spotify_artist_id,genres_raw,source,matched_from,last_chart_year
lighter shade of brown,lighter shade of brown,lighter shade of brown,lighter shade of brown,Lighter Shade Of Brown,7AyywyUcQP99oit737gZK2,latin hip hop;funk melody;g-funk;west coast hip hop;mexican hip hop,spotify,artist,1994
lighter shade of brown featuring teardrop & shiro,lighter shade of brown,lighter shade of brown,lighter shade of brown,Lighter Shade Of Brown,7AyywyUcQP99oit737gZK2,latin hip hop;funk melody;g-funk;west coast hip hop;mexican hip hop,spotify,l1,1991
lighthouse,lighthouse,lighthouse,lighthouse,Lighthouse,1YONuiYyTSZiWtE5NJDUsp,christian hip hop,spotify,artist,1973
lightning seeds,lightning seeds,lightning seeds,lightning seeds,Lightning Seeds,757qdRKAuwXwaK3fGAE6rA,,none,artist,1992
lil baby,lil baby,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,artist,2025
lil baby & 21 savage,lil baby & 21 savage,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l2,2025
lil baby & 42 dugg,lil baby & 42 dugg,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l2,2020
lil baby & dababy,lil baby & dababy,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l2,2020
lil baby & drake,lil baby & drake,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l2,2018
lil baby & est gee,lil baby & est gee,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l2,2022
lil baby & glorilla,lil baby & glorilla,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l2,2025
lil baby & gunna,lil baby & gunna,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l2,2020
lil baby & gunna featuring drake,lil baby & gunna,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l2,2018
lil baby & gunna featuring lil durk & nav,lil baby & gunna,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l2,2018
lil baby & lil durk,lil baby & lil durk,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l2,2021
lil baby & moneybagg yo,lil baby & moneybagg yo,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l2,2020
lil baby & nardo wick,lil baby & nardo wick,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l2,2022
lil baby & rylo rodriguez,lil baby & rylo rodriguez,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l2,2022
lil baby & rylo rodriguez featuring rod wave,lil baby & rylo rodriguez,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l2,2025
lil baby & young thug,lil baby & young thug,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l2,2022
lil baby featuring est gee,lil baby,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l1,2021
lil baby featuring fridayy,lil baby,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l1,2023
lil baby featuring future,lil baby,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l1,2022
lil baby featuring gunna,lil baby,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l1,2018
lil baby featuring gunna & lil uzi vert,lil baby,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l1,2018
lil baby featuring jeremih,lil baby,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l1,2022
lil baby featuring lil uzi vert,lil baby,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l1,2020
lil baby featuring lil wayne,lil baby,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l1,2020
lil baby featuring meek mill,lil baby,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l1,2018
lil baby featuring pooh shiesty,lil baby,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l1,2022
lil baby featuring travis scott,lil baby,lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l1,2025
"lil baby, 42 dugg & veeze","lil baby, 42 dugg & veeze",lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l2,2022
"lil baby, lil durk & meek mill","lil baby, lil durk & meek mill",lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l2,2021
"lil baby, lil durk & rod wave","lil baby, lil durk & rod wave",lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l2,2021
"lil baby, lil durk & travis scott","lil baby, lil durk & travis scott",lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l2,2021
"lil baby, lil durk & young thug","lil baby, lil durk & young thug",lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l2,2021
"lil baby, young thug & future","lil baby, young thug & future",lil baby,lil baby,Lil Baby,3FS1key8UDgSlIDGYmLROZ,,none,l2,2025
lil boosie featuring foxx & webbie,lil boosie,lil boosie,lil boosie,Lil Boosie,5ssZNoAqgH8OnREqpoxvt3,,none,l1,2007
lil bow wow,lil bow wow,lil bow wow,lil bow wow,,,,none,,2002
lil bow wow featuring jagged edge,lil bow wow,lil bow wow,lil bow wow,,,,none,,2001
lil bow wow featuring jagged edge & fundisha,lil bow wow,lil bow wow,lil bow wow,,,,none,,2002
lil bow wow featuring xscape,lil bow wow,lil bow wow,lil bow wow,,,,none,,2001
lil dicky,lil dicky,lil dicky,lil dicky,Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,,none,artist,2019
lil dicky featuring chris brown,lil dicky,lil dicky,lil dicky,Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,,none,l1,2018
lil dicky featuring fetty wap & rich homie quan,lil dicky,lil dicky,lil dicky,Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,,none,l1,2016
lil durk,lil durk,lil durk,lil durk,Lil Durk,3hcs9uc56yIGFCSy9leWe7,chicago drill;drill,spotify,artist,2025
lil durk & chief wuk,lil durk & chief wuk,lil durk,lil durk,Lil Durk,3hcs9uc56yIGFCSy9leWe7,chicago drill;drill,spotify,l2,2023
lil durk & king von,lil durk & king von,lil durk,lil durk,Lil Durk,3hcs9uc56yIGFCSy9leWe7,chicago drill;drill,spotify,l2,2021
lil durk featuring 21 savage,lil durk,lil durk,lil durk,Lil Durk,3hcs9uc56yIGFCSy9leWe7,chicago drill;drill,spotify,l1,2023
lil durk featuring doodie lo,lil durk,lil durk,lil durk,Lil Durk,3hcs9uc56yIGFCSy9leWe7,chicago drill;drill,spotify,l1,2022
lil durk featuring est gee,lil durk,lil durk,lil durk,Lil Durk,3hcs9uc56yIGFCSy9leWe7,chicago drill;drill,spotify,l1,2022
lil durk featuring future,lil durk,lil durk,lil durk,Lil Durk,3hcs9uc56yIGFCSy9leWe7,chicago drill;drill,spotify,l1,2025
lil durk featuring gunna,lil durk,lil durk,lil durk,Lil Durk,3hcs9uc56yIGFCSy9leWe7,chicago drill;drill,spotify,l1,2022
lil durk featuring j. cole,lil durk,lil durk,lil durk,Lil Durk,3hcs9uc56yIGFCSy9leWe7,chicago drill;drill,spotify,l1,2023
lil durk featuring jhene aiko,lil durk,lil durk,lil durk,Lil Durk,3hcs9uc56yIGFCSy9leWe7,chicago drill;drill,spotify,l1,2025
lil durk featuring juice wrld,lil durk,lil durk,lil durk,Lil Durk,3hcs9uc56yIGFCSy9leWe7,chicago drill;drill,spotify,l1,2023
lil durk featuring kodak black,lil durk,lil durk,lil durk,Lil Durk,3hcs9uc56yIGFCSy9leWe7,chicago drill;drill,spotify,l1,2023
lil durk featuring lil baby,lil durk,lil durk,lil durk,Lil Durk,3hcs9uc56yIGFCSy9leWe7,chicago drill;drill,spotify,l1,2025
lil durk featuring lil baby & polo g,lil durk,lil durk,lil durk,Lil Durk,3hcs9uc56yIGFCSy9leWe7,chicago drill;drill,spotify,l1,2020
lil durk featuring morgan wallen,lil durk,lil durk,lil durk,Lil Durk,3hcs9uc56yIGFCSy9leWe7,chicago drill;drill,spotify,l1,2023
lil durk featuring pooh shiesty,lil durk,lil durk,lil durk,Lil Durk,3hcs9uc56yIGFCSy9leWe7,chicago drill;drill,spotify,l1,2021
lil durk featuring summer walker,lil durk,lil durk,lil durk,Lil Durk,3hcs9uc56yIGFCSy9leWe7,chicago drill;drill,spotify,l1,2022
"lil durk, 6lack & young thug","lil durk, 6lack & young thug",lil durk,lil durk,Lil Durk,3hcs9uc56yIGFCSy9leWe7,chicago drill;drill,spotify,l2,2021
lil jon & the east side boyz featuring lil scrappy,lil jon & the east side boyz,lil jon,lil jon,Lil Jon & The East Side Boyz,3ciRvbBIVz9fBoPbtSYq4x,crunk;southern hip hop,spotify,l1,2005
"lil jon & the east side boyz featuring ludacris, too short, big kap & chyna whyte",lil jon & the east side boyz,lil jon,lil jon,Lil Jon & The East Side Boyz,3ciRvbBIVz9fBoPbtSYq4x,crunk;southern hip hop,spotify,l1,2001
lil jon & the east side boyz featuring usher & ludacris,lil jon & the east side boyz,lil jon,lil jon,Lil Jon & The East Side Boyz,3ciRvbBIVz9fBoPbtSYq4x,crunk;southern hip hop,spotify,l1,2005
lil jon & the east side boyz featuring ying yang twins,lil jon & the east side boyz,lil jon,lil jon,Lil Jon & The East Side Boyz,3ciRvbBIVz9fBoPbtSYq4x,crunk;southern hip hop,spotify,l1,2004
lil jon featuring 3oh!3,lil jon,lil jon,lil jon,Lil Jon,7sfl4Xt5KmfyDs2T3SVSMK,crunk,spotify,l1,2010
lil jon featuring e-40 & sean paul of the youngbloodz,lil jon,lil jon,lil jon,Lil Jon,7sfl4Xt5KmfyDs2T3SVSMK,crunk,spotify,l1,2006
lil jon featuring lmfao,lil jon,lil jon,lil jon,Lil Jon,7sfl4Xt5KmfyDs2T3SVSMK,crunk,spotify,l1,2010
lil jon featuring tyga,lil jon,lil jon,lil jon,Lil Jon,7sfl4Xt5KmfyDs2T3SVSMK,crunk,spotify,l1,2014
lil louis,lil louis,lil louis,lil louis,Lil Louis,76geAeGYwNHWG5jLRxPgFq,german hip hop,spotify,artist,1990
lil mabu,lil mabu,lil mabu,lil mabu,Lil Mabu,6FAo7ORAHEzSSf5q10LLfN,new york drill;drill,spotify,artist,2023
lil mabu & chriseanrock,lil mabu & chriseanrock,lil mabu,lil mabu,Lil Mabu,6FAo7ORAHEzSSf5q10LLfN,new york drill;drill,spotify,l2,2023
lil mama,lil mama,lil mama,lil mama,Lil Mama,5qK5bOC6wLtuLhG5KvU17c,,none,artist,2007
lil mama featuring chris brown & t-pain,lil mama,lil mama,lil mama,Lil Mama,5qK5bOC6wLtuLhG5KvU17c,,none,l1,2008
lil mosey,lil mosey,lil mosey,lil mosey,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,melodic rap,spotify,artist,2020
lil mosey x gunna,lil mosey x gunna,lil mosey,lil mosey,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,melodic rap,spotify,l2,2019
lil nas x,lil nas x,lil nas,lil nas,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,,none,artist,2024
lil nas x & jack harlow,lil nas x & jack harlow,lil nas,lil nas,Lil Nas,6tlvuQIsRVZouZvWJkFXmb,,none,l2,2022
lil nas x & youngboy never broke again,lil nas x & youngboy never broke again,lil nas,lil nas,Lil Nas,6tlvuQIsRVZouZvWJkFXmb,,none,l2,2022
lil nas x featuring billy ray cyrus,lil nas x,lil nas,lil nas,Lil Nas,6tlvuQIsRVZouZvWJkFXmb,,none,l2,2020
lil nas x featuring doja cat,lil nas x,lil nas,lil nas,Lil Nas,6tlvuQIsRVZouZvWJkFXmb,,none,l2,2021
lil nas x featuring elton john,lil nas x,lil nas,lil nas,Lil Nas,6tlvuQIsRVZouZvWJkFXmb,,none,l2,2021
lil nas x featuring megan thee stallion,lil nas x,lil nas,lil nas,Lil Nas,6tlvuQIsRVZouZvWJkFXmb,,none,l2,2021
lil nas x featuring miley cyrus,lil nas x,lil nas,lil nas,Lil Nas,6tlvuQIsRVZouZvWJkFXmb,,none,l2,2021
lil peep,lil peep,lil peep,lil peep,Lil Peep,2kCcBybjl3SAtIcwdWpUe3,emo rap;cloud rap,spotify,artist,2017
lil peep & xxxtentacion,lil peep & xxxtentacion,lil peep,lil peep,Lil Peep,2kCcBybjl3SAtIcwdWpUe3,emo rap;cloud rap,spotify,l2,2018
lil peep & ilovemakonnen featuring fall out boy,lil peep & ilovemakonnen,lil peep,lil peep,Lil Peep,2kCcBybjl3SAtIcwdWpUe3,emo rap;cloud rap,spotify,l2,2019
lil pump,lil pump,lil pump,lil pump,Lil Pump,3wyVrVrFCkukjdVIdirGVY,,none,artist,2019
lil pump featuring lil wayne,lil pump,lil pump,lil pump,Lil Pump,3wyVrVrFCkukjdVIdirGVY,,none,l1,2019
lil rob,lil rob,lil rob,lil rob,Lil Rob,7B7TGqQe7QTVm2U6q8jzk1,mexican hip hop;latin hip hop;g-funk,spotify,artist,2006
lil scrappy,lil scrappy,lil scrappy,lil scrappy,Lil Scrappy,5einkgXXrjhfYCyac1FANB,crunk;southern hip hop,spotify,artist,2004
lil scrappy featuring young buck,lil scrappy,lil scrappy,lil scrappy,Lil Scrappy,5einkgXXrjhfYCyac1FANB,crunk;southern hip hop,spotify,l1,2007
