chart_name,date,rank,title,artist
hot-100,2025-10-11,1,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
hot-100,2025-10-11,2,Ordinary,Alex Warren
hot-100,2025-10-11,3,Tit For Tat,Tate McRae
hot-100,2025-10-11,4,What I Want,Morgan Wallen Featuring Tate McRae
hot-100,2025-10-11,5,Daisies,Justin Bieber
hot-100,2025-10-11,6,Lose Control,Teddy Swims
hot-100,2025-10-11,7,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee"
hot-100,2025-10-11,8,I Got Better,Morgan Wallen
hot-100,2025-10-11,9,Love Me Not,Ravyn Lenae
hot-100,2025-10-11,10,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee"
hot-100,2025-10-11,11,Mutt,Leon Thomas
hot-100,2025-10-11,12,Man I Need,Olivia Dean
hot-100,2025-10-11,13,Die With A Smile,Lady Gaga & Bruno Mars
hot-100,2025-10-11,14,Manchild,Sabrina Carpenter
hot-100,2025-10-11,15,Beautiful Things,Benson Boone
hot-100,2025-10-11,16,A Bar Song (Tipsy),Shaboozey
hot-100,2025-10-11,17,How It's Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
hot-100,2025-10-11,18,Folded,Kehlani
hot-100,2025-10-11,19,Just In Case,Morgan Wallen
hot-100,2025-10-11,20,Pink Pony Club,Chappell Roan
hot-100,2025-10-11,21,Undressed,sombr
hot-100,2025-10-11,22,Back To Friends,sombr
hot-100,2025-10-11,23,Good News,Shaboozey
hot-100,2025-10-11,24,Tears,Sabrina Carpenter
hot-100,2025-10-11,25,I'm The Problem,Morgan Wallen
hot-100,2025-10-11,26,Mystical Magical,Benson Boone
hot-100,2025-10-11,27,What It Sounds Like,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
hot-100,2025-10-11,28,Luther,Kendrick Lamar & SZA
hot-100,2025-10-11,29,It Depends,Chris Brown Featuring Bryson Tiller
hot-100,2025-10-11,30,Takedown,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
hot-100,2025-10-11,31,Free,"Rumi, JINU, EJAE & Andrew Choi"
hot-100,2025-10-11,32,Bottle Rockets,Scotty McCreery & Hootie & The Blowfish
hot-100,2025-10-11,33,Yukon,Justin Bieber
hot-100,2025-10-11,34,Burning Blue,Mariah the Scientist
hot-100,2025-10-11,35,When Did You Get Hot?,Sabrina Carpenter
hot-100,2025-10-11,36,Jealous Type,Doja Cat
hot-100,2025-10-11,37,All The Way,BigXthaPlug Featuring Bailey Zimmerman
